date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:01:15	250201/250201	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Jul%202025%2014:24:07%20GMT	https://cybersierra.co/	C:/My%20Web%20Sites/Cyber%20Sierra%20Demo/cybersierra.co/index.html	(from )
12:01:15	116/116	---M-Z	200	added ('OK')	text/plain	date:Mon,%2028%20Jul%202025%2002:22:19%20GMT	https://cybersierra.co/robots.txt		(from )
12:01:16	315/315	---M-Z	200	added ('OK')	image/svg+xml	etag:%2213b-609a025706730-gzip%22	https://cybersierra.co/wp-content/themes/cyber-sierra/assets/img/hamburger-dark.svg	C:/My%20Web%20Sites/Cyber%20Sierra%20Demo/cybersierra.co/wp-content/themes/cyber-sierra/assets/img/hamburger-dark.svg	(from https://cybersierra.co/)
12:01:16	264/264	---M-Z	200	added ('OK')	image/svg+xml	etag:%22108-609a025706730-gzip%22	https://cybersierra.co/wp-content/themes/cyber-sierra/assets/img/hamburger-toggle-dark.svg	C:/My%20Web%20Sites/Cyber%20Sierra%20Demo/cybersierra.co/wp-content/themes/cyber-sierra/assets/img/hamburger-toggle-dark.svg	(from https://cybersierra.co/)
12:01:16	3343/3343	---M-Z	200	added ('OK')	text/css	etag:%22d0f-60196d39dc99d-gzip%22	https://cybersierra.co/wp-content/plugins/menu-image/includes/css/menu-image.css?ver=3.0.8	C:/My%20Web%20Sites/Cyber%20Sierra%20Demo/cybersierra.co/wp-content/plugins/menu-image/includes/css/menu-image6173.css	(from https://cybersierra.co/)
12:01:17	59016/59016	---M-Z	200	added ('OK')	text/css	etag:%22e688-60196ca01c407-gzip%22	https://cybersierra.co/wp-includes/css/dashicons.min.css?ver=6.2	C:/My%20Web%20Sites/Cyber%20Sierra%20Demo/cybersierra.co/wp-includes/css/dashicons.minae48.css	(from https://cybersierra.co/)
12:01:17	8173/8173	---M-Z	200	added ('OK')	text/css	etag:%221fed-61514f4d5a700-gzip%22	https://cybersierra.co/wp-content/themes/cyber-sierra/style.css?ver=1.0.17	C:/My%20Web%20Sites/Cyber%20Sierra%20Demo/cybersierra.co/wp-content/themes/cyber-sierra/style5bf7.css	(from https://cybersierra.co/)
12:01:17	207238/207238	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2224a989f131eb8ec4a1b7acbe0c346e13%22	https://cybersierra.co/feed/	C:/My%20Web%20Sites/Cyber%20Sierra%20Demo/cybersierra.co/feed/index.html	(from https://cybersierra.co/)
12:01:17	163873/163873	---M-Z	200	added ('OK')	text/css	etag:%2228021-60196d3b5399d-gzip%22	https://cybersierra.co/wp-content/themes/cyber-sierra/vendors/bootstrap/css/bootstrap.min.css?ver=1.0.17	C:/My%20Web%20Sites/Cyber%20Sierra%20Demo/cybersierra.co/wp-content/themes/cyber-sierra/vendors/bootstrap/css/bootstrap.min5bf7.css	(from https://cybersierra.co/)
12:01:18	941/941	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2224a989f131eb8ec4a1b7acbe0c346e13%22	https://cybersierra.co/comments/feed/	C:/My%20Web%20Sites/Cyber%20Sierra%20Demo/cybersierra.co/comments/feed/index.html	(from https://cybersierra.co/)
12:01:18	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-60196d3b6627d-gzip%22	https://cybersierra.co/wp-content/themes/cyber-sierra/vendors/slick/slick.css?ver=1.0.17	C:/My%20Web%20Sites/Cyber%20Sierra%20Demo/cybersierra.co/wp-content/themes/cyber-sierra/vendors/slick/slick5bf7.css	(from https://cybersierra.co/)
12:01:18	3145/3145	---M-Z	200	added ('OK')	text/css	etag:%22c49-60196d3b6915d-gzip%22	https://cybersierra.co/wp-content/themes/cyber-sierra/vendors/slick/slick-theme.css?ver=1.0.17	C:/My%20Web%20Sites/Cyber%20Sierra%20Demo/cybersierra.co/wp-content/themes/cyber-sierra/vendors/slick/slick-theme5bf7.css	(from https://cybersierra.co/)
12:01:18	170742/170742	---M-Z	200	added ('OK')	text/css	etag:%2229af6-63396700f02e0-gzip%22	https://cybersierra.co/wp-content/themes/cyber-sierra/assets/css/cyber-sierra.min.css?ver=1.0.17	C:/My%20Web%20Sites/Cyber%20Sierra%20Demo/cybersierra.co/wp-content/themes/cyber-sierra/assets/css/cyber-sierra.min5bf7.css	(from https://cybersierra.co/)
12:01:18	308951/308951	---M-Z	200	added ('OK')	text/css	etag:%224b6d7-620909a1f0b0e-gzip%22	https://cybersierra.co/wp-content/themes/cyber-sierra/assets/css/custom.min.css?ver=1.0.17	C:/My%20Web%20Sites/Cyber%20Sierra%20Demo/cybersierra.co/wp-content/themes/cyber-sierra/assets/css/custom.min5bf7.css	(from https://cybersierra.co/)
12:01:19	89815/89815	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215ed7-60196ca0415c7-gzip%22	https://cybersierra.co/wp-includes/js/jquery/jquery.min.js?ver=3.6.3	C:/My%20Web%20Sites/Cyber%20Sierra%20Demo/cybersierra.co/wp-includes/js/jquery/jquery.mina767.js	(from https://cybersierra.co/)
12:01:19	2252/2252	---M-Z	200	added ('OK')	application/x-javascript	etag:%228cc-60196d39d4c9d-gzip%22	https://cybersierra.co/wp-content/plugins/mailchimp/js/scrollTo.js?ver=1.5.8	C:/My%20Web%20Sites/Cyber%20Sierra%20Demo/cybersierra.co/wp-content/plugins/mailchimp/js/scrollTo0322.js	(from https://cybersierra.co/)
12:01:19	15977/15977	---M-Z	200	added ('OK')	application/x-javascript	etag:%223e69-60196ca0415c7-gzip%22	https://cybersierra.co/wp-includes/js/jquery/jquery.form.min.js?ver=4.3.0	C:/My%20Web%20Sites/Cyber%20Sierra%20Demo/cybersierra.co/wp-includes/js/jquery/jquery.form.minb2f9.js	(from https://cybersierra.co/)
